Period (sec)	Sa  (g)
0.00	0.3500
0.02	0.4550
0.04	0.5600
0.06	0.6650
0.08	0.7700
0.10	0.8750
0.12	0.8750
0.14	0.8750
0.16	0.8750
0.18	0.8750
0.20	0.8750
0.22	0.8750
0.24	0.8750
0.26	0.8750
0.28	0.8750
0.30	0.8750
0.32	0.8750
0.34	0.8750
0.36	0.8750
0.38	0.8750
0.40	0.8750
0.42	0.8750
0.44	0.8750
0.46	0.8750
0.48	0.8750
0.50	0.8750
0.52	0.8447
0.54	0.8167
0.56	0.7906
0.58	0.7664
0.60	0.7438
0.62	0.7226
0.64	0.7027
0.66	0.6841
0.68	0.6665
0.70	0.6500
0.72	0.6344
0.74	0.6196
0.76	0.6056
0.78	0.5923
0.80	0.5797
0.82	0.5677
0.84	0.5563
0.86	0.5453
0.88	0.5349
0.90	0.5250
0.92	0.5155
0.94	0.5064
0.96	0.4977
0.98	0.4893
1.00	0.4813
1.02	0.4735
1.04	0.4661
1.06	0.4590
1.08	0.4521
1.10	0.4455
1.12	0.4391
1.14	0.4329
1.16	0.4269
1.18	0.4212
1.20	0.4156
1.22	0.4102
1.24	0.4050
1.26	0.4000
1.28	0.3951
1.30	0.3904
1.32	0.3858
1.34	0.3813
1.36	0.3770
1.38	0.3728
1.40	0.3687
1.42	0.3648
1.44	0.3609
1.46	0.3572
1.48	0.3535
1.50	0.3500
1.52	0.3465
1.54	0.3432
1.56	0.3399
1.58	0.3367
1.60	0.3336
1.62	0.3306
1.64	0.3276
1.66	0.3247
1.68	0.3219
1.70	0.3191
1.72	0.3164
1.74	0.3138
1.76	0.3112
1.78	0.3087
1.80	0.3062
1.82	0.3038
1.84	0.3015
1.86	0.2992
1.88	0.2969
1.90	0.2947
1.92	0.2926
1.94	0.2905
1.96	0.2884
1.98	0.2864
2.00	0.2844
2.02	0.2824
2.04	0.2805
2.06	0.2786
2.08	0.2768
2.10	0.2750
2.12	0.2732
2.14	0.2715
2.16	0.2698
2.18	0.2681
2.20	0.2665
2.22	0.2649
2.24	0.2633
2.26	0.2617
2.28	0.2602
2.30	0.2587
2.32	0.2572
2.34	0.2558
2.36	0.2543
2.38	0.2529
2.40	0.2516
2.42	0.2502
2.44	0.2489
2.46	0.2476
2.48	0.2463
2.50	0.2450
2.52	0.2437
2.54	0.2425
2.56	0.2413
2.58	0.2401
2.60	0.2389
2.62	0.2378
2.64	0.2366
2.66	0.2355
2.68	0.2344
2.70	0.2333
2.72	0.2323
2.74	0.2312
2.76	0.2302
2.78	0.2291
2.80	0.2281
2.82	0.2271
2.84	0.2261
2.86	0.2252
2.88	0.2242
2.90	0.2233
2.92	0.2223
2.94	0.2214
2.96	0.2205
2.98	0.2196
3.00	0.2188
3.02	0.2179
3.04	0.2170
3.06	0.2162
3.08	0.2153
3.10	0.2145
3.12	0.2137
3.14	0.2129
3.16	0.2121
3.18	0.2113
3.20	0.2105
3.22	0.2098
3.24	0.2090
3.26	0.2083
3.28	0.2075
3.30	0.2068
3.32	0.2061
3.34	0.2054
3.36	0.2047
3.38	0.2040
3.40	0.2033
3.42	0.2026
3.44	0.2020
3.46	0.2013
3.48	0.2006
3.50	0.2000
3.52	0.1994
3.54	0.1987
3.56	0.1981
3.58	0.1975
3.60	0.1969
3.62	0.1963
3.64	0.1957
3.66	0.1951
3.68	0.1945
3.70	0.1939
3.72	0.1933
3.74	0.1928
3.76	0.1922
3.78	0.1917
3.80	0.1911
3.82	0.1906
3.84	0.1900
3.86	0.1895
3.88	0.1890
3.90	0.1885
3.92	0.1879
3.94	0.1874
3.96	0.1869
3.98	0.1864
4.00	0.1855
